filename_nor,model_type,num_params,chans,groups,scale,rrmse_nor,rmse_nor,corr_nor,sdr_nor,filename_gen,rrmse_gen,rmse_gen,corr_gen,sdr_gen
final_3conv_ch1_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_41_params.txt,3conv,41,1,1,1,0.556684852,0.309964836,0.830984354,5.087812424,best_conv3SingleHeadNet_final_3conv_ch1_grp1_scale1_mse_only_denoise_epoch_50_weights_41_params_gen_metrics.txt,0.761653841,0.761653781,0.655282378,2.364847422
final_3conv_ch1_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_45_params.txt,3conv,45,1,1,2,0.544541955,0.303203613,0.838893771,5.279373646,best_conv3SingleHeadNet_final_3conv_ch1_grp1_scale2_mse_only_denoise_epoch_50_weights_45_params_gen_metrics.txt,0.753584027,0.753583968,0.663724065,2.457366467
final_3conv_ch1_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_53_params.txt,3conv,53,1,1,4,0.563817859,0.313936532,0.827057302,4.977223873,best_conv3SingleHeadNet_final_3conv_ch1_grp1_scale4_mse_only_denoise_epoch_50_weights_53_params_gen_metrics.txt,0.753280222,0.753280163,0.660766721,2.460869074
final_3conv_ch2_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_133_params.txt,3conv,133,2,1,1,0.493598074,0.274837822,0.871960998,6.132531643,best_conv3SingleHeadNet_final_3conv_ch2_grp1_scale1_mse_only_denoise_epoch_50_weights_133_params_gen_metrics.txt,0.724167645,0.724167585,0.698904634,2.803218365
final_3conv_ch2_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_143_params.txt,3conv,143,2,1,2,0.475396752,0.264703244,0.881973445,6.458875656,best_conv3SingleHeadNet_final_3conv_ch2_grp1_scale2_mse_only_denoise_epoch_50_weights_143_params_gen_metrics.txt,0.724690914,0.724690855,0.695144653,2.796944141
final_3conv_ch2_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_163_params.txt,3conv,163,2,1,4,0.465726465,0.259318769,0.885441601,6.637382507,best_conv3SingleHeadNet_final_3conv_ch2_grp1_scale4_mse_only_denoise_epoch_50_weights_163_params_gen_metrics.txt,0.725585878,0.725585818,0.691879451,2.786224127
final_3conv_ch2_grp2_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_105_params.txt,3conv,105,2,2,1,0.473196626,0.26347819,0.881163239,6.499168396,best_conv3SingleHeadNet_final_3conv_ch2_grp2_scale1_mse_only_denoise_epoch_50_weights_105_params_gen_metrics.txt,0.729345858,0.729345798,0.68740952,2.741329908
final_3conv_ch2_grp2_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_115_params.txt,3conv,115,2,2,2,0.470798701,0.262143016,0.884835005,6.54329586,best_conv3SingleHeadNet_final_3conv_ch2_grp2_scale2_mse_only_denoise_epoch_50_weights_115_params_gen_metrics.txt,0.718966305,0.718966246,0.699586034,2.865829706
final_3conv_ch2_grp2_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_135_params.txt,3conv,135,2,2,4,0.469048202,0.261168331,0.884025037,6.575651169,best_conv3SingleHeadNet_final_3conv_ch2_grp2_scale4_mse_only_denoise_epoch_50_weights_135_params_gen_metrics.txt,0.721020758,0.721020699,0.697859824,2.841045618
final_3conv_ch4_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_473_params.txt,3conv,473,4,1,1,0.478815436,0.266606778,0.88171345,6.396637917,best_conv3SingleHeadNet_final_3conv_ch4_grp1_scale1_mse_only_denoise_epoch_50_weights_473_params_gen_metrics.txt,0.71990788,0.71990782,0.696020186,2.854461908
