filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
final_3conv_ch1_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_41_params.txt,3conv,41,1,1,1,0.556684852,0.309964836,0.830984354,5.087812424
final_3conv_ch1_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_45_params.txt,3conv,45,1,1,2,0.544541955,0.303203613,0.838893771,5.279373646
final_3conv_ch1_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_53_params.txt,3conv,53,1,1,4,0.563817859,0.313936532,0.827057302,4.977223873
final_3conv_ch2_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_133_params.txt,3conv,133,2,1,1,0.493598074,0.274837822,0.871960998,6.132531643
final_3conv_ch2_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_143_params.txt,3conv,143,2,1,2,0.475396752,0.264703244,0.881973445,6.458875656
final_3conv_ch2_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_163_params.txt,3conv,163,2,1,4,0.465726465,0.259318769,0.885441601,6.637382507
final_3conv_ch2_grp2_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_105_params.txt,3conv,105,2,2,1,0.473196626,0.26347819,0.881163239,6.499168396
final_3conv_ch2_grp2_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_115_params.txt,3conv,115,2,2,2,0.470798701,0.262143016,0.884835005,6.54329586
final_3conv_ch2_grp2_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_135_params.txt,3conv,135,2,2,4,0.469048202,0.261168331,0.884025037,6.575651169
final_3conv_ch4_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_473_params.txt,3conv,473,4,1,1,0.478815436,0.266606778,0.88171345,6.396637917
final_3conv_ch4_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_501_params.txt,3conv,501,4,1,2,0.460804194,0.256578028,0.88757664,6.729671955
final_3conv_ch4_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_557_params.txt,3conv,557,4,1,4,0.457069129,0.254498333,0.889780939,6.800363064
final_3conv_ch4_grp2_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_361_params.txt,3conv,361,4,2,1,0.46173507,0.25709635,0.887429118,6.712143898
final_3conv_ch4_grp2_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_389_params.txt,3conv,389,4,2,2,0.458131731,0.255089998,0.88927573,6.780192852
