filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
best_conv3SingleHeadNet_final_3conv_ch1_grp1_scale1_mse_only_denoise_epoch_50_weights_41_params_gen_metrics.txt,3conv,41,1,1,1,0.761653841,0.761653781,0.655282378,2.364847422
best_conv3SingleHeadNet_final_3conv_ch1_grp1_scale2_mse_only_denoise_epoch_50_weights_45_params_gen_metrics.txt,3conv,45,1,1,2,0.753584027,0.753583968,0.663724065,2.457366467
best_conv3SingleHeadNet_final_3conv_ch1_grp1_scale4_mse_only_denoise_epoch_50_weights_53_params_gen_metrics.txt,3conv,53,1,1,4,0.753280222,0.753280163,0.660766721,2.460869074
best_conv3SingleHeadNet_final_3conv_ch2_grp1_scale1_mse_only_denoise_epoch_50_weights_133_params_gen_metrics.txt,3conv,133,2,1,1,0.724167645,0.724167585,0.698904634,2.803218365
best_conv3SingleHeadNet_final_3conv_ch2_grp1_scale2_mse_only_denoise_epoch_50_weights_143_params_gen_metrics.txt,3conv,143,2,1,2,0.724690914,0.724690855,0.695144653,2.796944141
best_conv3SingleHeadNet_final_3conv_ch2_grp1_scale4_mse_only_denoise_epoch_50_weights_163_params_gen_metrics.txt,3conv,163,2,1,4,0.725585878,0.725585818,0.691879451,2.786224127
best_conv3SingleHeadNet_final_3conv_ch2_grp2_scale1_mse_only_denoise_epoch_50_weights_105_params_gen_metrics.txt,3conv,105,2,2,1,0.729345858,0.729345798,0.68740952,2.741329908
best_conv3SingleHeadNet_final_3conv_ch2_grp2_scale2_mse_only_denoise_epoch_50_weights_115_params_gen_metrics.txt,3conv,115,2,2,2,0.718966305,0.718966246,0.699586034,2.865829706
best_conv3SingleHeadNet_final_3conv_ch2_grp2_scale4_mse_only_denoise_epoch_50_weights_135_params_gen_metrics.txt,3conv,135,2,2,4,0.721020758,0.721020699,0.697859824,2.841045618
best_conv3SingleHeadNet_final_3conv_ch4_grp1_scale1_mse_only_denoise_epoch_50_weights_473_params_gen_metrics.txt,3conv,473,4,1,1,0.71990788,0.71990782,0.696020186,2.854461908
best_conv3SingleHeadNet_final_3conv_ch4_grp1_scale2_mse_only_denoise_epoch_50_weights_501_params_gen_metrics.txt,3conv,501,4,1,2,0.702109396,0.702109337,0.714318514,3.071905136
best_conv3SingleHeadNet_final_3conv_ch4_grp1_scale4_mse_only_denoise_epoch_50_weights_557_params_gen_metrics.txt,3conv,557,4,1,4,0.711237073,0.711237013,0.706926405,2.959712744
best_conv3SingleHeadNet_final_3conv_ch4_grp2_scale1_mse_only_denoise_epoch_50_weights_361_params_gen_metrics.txt,3conv,361,4,2,1,0.725385308,0.725385249,0.693323314,2.788625002
best_conv3SingleHeadNet_final_3conv_ch4_grp2_scale2_mse_only_denoise_epoch_50_weights_389_params_gen_metrics.txt,3conv,389,4,2,2,0.718581915,0.718581855,0.701342165,2.8704741
best_conv3SingleHeadNet_final_3conv_ch4_grp2_scale4_mse_only_denoise_epoch_50_weights_445_params_gen_metrics.txt,3conv,445,4,2,4,0.714178383,0.714178324,0.704625964,2.923866272
best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale1_mse_only_denoise_epoch_50_weights_249_params_gen_metrics.txt,3conv,249,4,4,1,0.721965551,0.721965492,0.696827829,2.829670668
best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale2_mse_only_denoise_epoch_50_weights_249_params_gen_metrics.txt,3conv,249,4,4,2,0.713219225,0.713219166,0.702575028,2.935539246
best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale4_mse_only_denoise_epoch_50_weights_333_params_gen_metrics.txt,3conv,333,4,4,4,0.723271072,0.723271012,0.692472219,2.813978672
best_conv3SingleHeadNet_final_3conv_ch8_grp1_scale1_mse_only_denoise_epoch_50_weights_1777_params_gen_metrics.txt,3conv,1777,8,1,1,0.72959429,0.729594231,0.690707624,2.738371849
best_conv3SingleHeadNet_final_3conv_ch8_grp1_scale2_mse_only_denoise_epoch_50_weights_1865_params_gen_metrics.txt,3conv,1865,8,1,2,0.718808711,0.718808651,0.700140715,2.867733955
best_conv3SingleHeadNet_final_3conv_ch8_grp1_scale4_mse_only_denoise_epoch_50_weights_2041_params_gen_metrics.txt,3conv,2041,8,1,4,0.715207934,0.715207875,0.704767704,2.911354065
best_conv3SingleHeadNet_final_3conv_ch8_grp2_scale1_mse_only_denoise_epoch_50_weights_1329_params_gen_metrics.txt,3conv,1329,8,2,1,0.718045712,0.718045652,0.701028228,2.876958609
best_conv3SingleHeadNet_final_3conv_ch8_grp2_scale2_mse_only_denoise_epoch_50_weights_1417_params_gen_metrics.txt,3conv,1417,8,2,2,0.718441069,0.71844101,0.699452937,2.872177362
